team,seed,region,prb_win_rd64,prb_win_rd32,prb_win_s16,prb_win_e8,prb_win_f4,prb_win_champ
Michigan,1,midwest,0.9704,0.774,0.5845,0.4003,0.2705,0.1693
Arizona,1,west,0.9604,0.7431,0.5105,0.356,0.214,0.1264
Duke,1,east,0.9676,0.7687,0.5487,0.3455,0.2045,0.1164
Houston,1,south,0.9129,0.6952,0.4658,0.2809,0.141,0.0703
Connecticut,2,east,0.9093,0.6655,0.4248,0.2287,0.1249,0.0664
Illinois,2,south,0.8925,0.63,0.3978,0.2309,0.1099,0.0551
Iowa State,2,midwest,0.9236,0.6717,0.3971,0.1817,0.0988,0.0482
Gonzaga,3,west,0.8487,0.5515,0.3761,0.1779,0.0895,0.0435
Texas Tech,3,midwest,0.8606,0.6018,0.3359,0.1529,0.0834,0.0389
Kansas,3,east,0.874,0.6171,0.3203,0.1549,0.0791,0.0355
Saint John's,5,west,0.7112,0.463,0.2169,0.1291,0.0654,0.0303
Florida,3,south,0.8841,0.5978,0.3055,0.1554,0.0678,0.0292
Virginia,4,midwest,0.8593,0.5526,0.2,0.1029,0.0528,0.0243
Michigan State,4,east,0.7899,0.5171,0.2212,0.1113,0.0499,0.0231
Nebraska,4,south,0.7595,0.4364,0.2011,0.0992,0.0396,0.0155
Alabama,4,west,0.7177,0.3281,0.1203,0.0614,0.0254,0.0107
Purdue,2,west,0.7889,0.4574,0.1994,0.0733,0.0261,0.0105
Miami (OH),11,west,0.5578,0.2397,0.1351,0.0506,0.0191,0.0079
Tennessee,5,midwest,0.7111,0.3277,0.0973,0.0431,0.0179,0.0062
Villanova,7,west,0.6254,0.3263,0.127,0.0428,0.0149,0.0058
Utah State,7,south,0.5677,0.2063,0.101,0.0422,0.0153,0.0051
Saint Louis,8,midwest,0.6222,0.1565,0.0732,0.0295,0.0123,0.0048
Liberty,12,south,0.4786,0.2321,0.0903,0.0371,0.0119,0.0046
Arkansas,5,south,0.5214,0.2542,0.1047,0.0449,0.0159,0.0043
Wisconsin,7,midwest,0.6585,0.2322,0.1,0.0308,0.012,0.0042
Vanderbilt,5,east,0.6021,0.2723,0.0873,0.0338,0.0108,0.004
North Carolina State,7,east,0.5179,0.1662,0.0725,0.0269,0.0109,0.0034
BYU,6,west,0.4422,0.1692,0.0876,0.0282,0.0094,0.0031
Saint Mary's College,9,west,0.5275,0.1348,0.052,0.0235,0.0085,0.003
Louisville,6,east,0.6441,0.2482,0.0922,0.0299,0.0103,0.0029
Kentucky,6,midwest,0.5308,0.1977,0.0756,0.0219,0.0079,0.0028
Ohio State,11,south,0.4792,0.1773,0.0594,0.0213,0.0067,0.0023
Clemson,8,south,0.5229,0.1524,0.0633,0.0221,0.007,0.0022
Iowa,8,west,0.4725,0.1172,0.0448,0.0208,0.0067,0.0019
Santa Clara,11,midwest,0.4692,0.1619,0.0587,0.0173,0.006,0.0019
Miami (FL),8,east,0.5943,0.1487,0.0674,0.0233,0.0072,0.0018
Texas A&M,10,south,0.4323,0.1372,0.0548,0.0182,0.0058,0.0018
UCF,10,east,0.4821,0.1456,0.057,0.0181,0.0059,0.0018
Belmont,12,west,0.2888,0.1292,0.0375,0.0156,0.0052,0.0018
North Carolina,6,south,0.5208,0.1984,0.0721,0.0261,0.0062,0.0017
Indiana,9,south,0.4771,0.1313,0.0534,0.015,0.0041,0.0013
Auburn,10,west,0.3746,0.1506,0.0499,0.0117,0.003,0.001
SMU,9,midwest,0.3778,0.0656,0.0251,0.0078,0.0023,0.0009
Texas,9,east,0.4057,0.0781,0.031,0.0091,0.0025,0.0007
South Florida,12,east,0.3979,0.139,0.0316,0.0084,0.0023,0.0007
UNCW,13,west,0.2823,0.0797,0.0176,0.0053,0.0021,0.0007
Stephen F. Austin,13,south,0.2405,0.0773,0.0177,0.0038,0.0015,0.0004
Georgia,10,midwest,0.3415,0.0813,0.0232,0.0056,0.0013,0.0003
Missouri,11,east,0.3559,0.0962,0.0221,0.0052,0.0014,0.0003
Yale,12,midwest,0.2889,0.0854,0.0163,0.0043,0.0014,0.0003
High Point,13,east,0.2101,0.0716,0.0119,0.0023,0.0004,0.0001
UC Irvine,14,midwest,0.1394,0.0386,0.0082,0.0013,0.0004,0.0001
Merrimack,15,west,0.2111,0.0657,0.0124,0.002,0.0001,0.0001
Navy,15,east,0.0907,0.0227,0.0048,0.0013,0.0002,0.0001
Southeast Missouri,16,midwest,0.0296,0.0039,0.0004,0.0001,0.0001,0.0001
California Baptist,13,midwest,0.1407,0.0343,0.0032,0.0005,0.0,0.0
North Dakota State,14,west,0.1513,0.0396,0.0125,0.0017,0.0001,0.0
Austin Peay,14,east,0.126,0.0385,0.0063,0.0011,0.0001,0.0
Portland State,14,south,0.1159,0.0265,0.0043,0.0008,0.0,0.0
Troy,15,south,0.1075,0.0265,0.0051,0.0011,0.0001,0.0
East Tennessee State,15,midwest,0.0764,0.0148,0.0013,0.0,0.0,0.0
Wright State,16,south,0.0871,0.0211,0.0037,0.001,0.0001,0.0
Long Island,16,west,0.0396,0.0049,0.0004,0.0001,0.0001,0.0
Bethune-Cookman,16,east,0.0324,0.0045,0.0009,0.0002,0.0,0.0
